id,item_id,name,name_en,item_kind,slot,accessory_type,equip_level,description,effects_json,synthesis_effects_json,obtain_methods_json,image_url,source_url,detail_url,created_at,updated_at
1,accessory_kao_1,海魔の眼甲,Nacreous Necromonocle,accessory,顔アクセサリー,顔,,ドラゴンビートが たまに発動する 荒々しい仮面,"[""魔物を倒すと25%でためる"", ""しゅび力+2"", ""おしゃれさ+2""]","[""魔物を倒すと2％でためる"", ""魔物を倒すと3％でためる"", ""魔物を倒すと5％でためる"", ""さいだいHP+2""]","[""グラコス討伐報酬"", ""銀のフェザーチップ4枚"", ""すごろくの報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-2.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-2.php,2026-03-12 05:57:09,2026-03-12 05:57:09
2,accessory_kao_2,機神の眼甲,Mechanical Eye,accessory,顔アクセサリー,顔,,ドラゴンビートが 発動しやすい メカニカルな仮面,"[""魔物を倒すと35%でためる"", ""さいだいHP+2"", ""しゅび力+2"", ""おしゃれさ+2""]","[""味方死亡時1%でためる"", ""味方死亡時2%でためる"", ""味方死亡時1%で聖女の守り"", ""味方死亡時2%で聖女の守り"", ""さいだいHP+2""]","[""Sキラーマシンの討伐報酬"", ""銀のフェザーチップ12枚"", ""アスフェルド光章2個(1回のみ)"", ""アスフェルド大光章2個(1回のみ)""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-3.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-3.php,2026-03-12 05:57:11,2026-03-12 05:57:11
3,accessory_kao_3,アクセルギア,Mechanical Monocle,accessory,顔アクセサリー,顔,,バトル中まれに すぐ行動できる 機械式モノクル,"[""6％で行動ターンを消費しない"", ""しゅび力+2"", ""おしゃれさ+1""]","[""1％で行動ターンを消費しない"", ""1.5％で行動ターンを消費しない"", ""さいだいHP+2"", ""すばやさ+4""]","[""キラーマジンガの討伐報酬"", ""銀のフェザーチップ4枚"", ""すごろくの報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-4.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-4.php,2026-03-12 05:57:13,2026-03-12 05:57:13
4,accessory_kao_4,死神のピアス,Reaper's Earrings,accessory,顔アクセサリー,顔,,バトル中まれに すぐ行動できる 死神のピアス,"[""9％で行動ターンを消費しない"", ""しゅび力+2"", ""おしゃれさ+1""]","[""特技のダメージ+5"", ""特技の回復量+5"", ""呪文のダメージ+5"", ""呪文の回復量+5""]","[""スライダークの討伐報酬"", ""アスフェルド光章2個(1回のみ)""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-5.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-5.php,2026-03-12 05:57:15,2026-03-12 05:57:15
5,accessory_kao_5,マーシャルピアス,Martial Earring,accessory,顔アクセサリー,顔,,呪文と特技による ダメージが増す 行動的なピアス,"[""10.5%でターン消費なし(試合無効)"", ""呪文と特技のダメージ+15(試合無効""]","[""特技のダメージ+3"", ""特技のダメージ+4"", ""特技のダメージ+5"", ""呪文のダメージ+3"", ""呪文のダメージ+4"", ""呪文のダメージ+5""]","[""コインボス「結界の守護者たち」の討伐報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-36.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-36.php,2026-03-12 05:57:17,2026-03-12 05:57:17
6,accessory_kao_6,レメディピアス,Remedial Earring,accessory,顔アクセサリー,顔,,呪文と特技による 回復量が増える 行動的なピアス,"[""10.5%でターン消費なし(試合無効)"", ""呪文と特技の回復量+15(試合無効""]","[""特技の回復量+3"", ""特技の回復量+4"", ""特技の回復量+5"", ""呪文の回復量+3"", ""呪文の回復量+4"", ""呪文の回復量+5""]","[""コインボス「結界の守護者たち」の討伐報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-37.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-37.php,2026-03-12 05:57:20,2026-03-12 05:57:20
7,accessory_kao_7,悪霊の仮面,Evil Spirit Mask,accessory,顔アクセサリー,顔,,開戦時まれに 必殺チャージする なぞめいた仮面,"[""開戦時6%で必殺チャージ"", ""しゅび力+2"", ""おしゃれさ+2""]","[""さいだいHP+2"", ""さいだいMP+2"", ""しゅび力+2"", ""こうげき魔力+2"", ""かいふく魔力+2"", ""すばやさ+2"", ""きようさ+2"", ""おしゃれさ+2"", ""おもさ+2"", ""戦闘開始時2%で必殺チャージ""]","[""悪霊の神々の討伐報酬"", ""銀のフェザーチップ4枚"", ""すごろくの報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-1.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-1.php,2026-03-12 05:57:22,2026-03-12 05:57:22
8,accessory_kao_8,魔犬の仮面,Demon Dog Mask,accessory,顔アクセサリー,顔,,開戦時たまに 必殺チャージする 面妖な仮面,"[""開戦時10％で必殺チャージ"", ""しゅび力+6"", ""さいだいHP+4"", ""さいだいMP+4"", ""おしゃれさ+6"", ""すばやさ+4"", ""きようさ+4"", ""こうげき魔力+4"", ""かいふく魔力+4"", ""おもさ+4""]","[""必殺チャージ時 バイキルト"", ""必殺チャージ時 魔力かくせい"", ""必殺チャージ時 聖なる祈り"", ""必殺チャージ時 早詠みの杖"", ""必殺チャージ時 スカラ2段階"", ""必殺チャージ時 魔結界2段階"", ""必殺チャージ時 心頭滅却"", ""必殺チャージ時 ピオラ2段階"", ""必殺チャージ時 弓聖の守り星"", ""必殺チャージ時 ホップスティック"", ""必殺チャージ時10%で聖騎士の堅陣""]","[""魔犬レオパルドの討伐報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-31.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-31.php,2026-03-12 05:57:24,2026-03-12 05:57:24
9,accessory_kao_9,デスマスク,Slaughtomask,accessory,顔アクセサリー,顔,,開戦時たまに 必殺チャージする 迫力満点の仮面,"[""開戦時10％で必殺チャージ"", ""しゅび力+6"", ""さいだいHP+4"", ""さいだいMP+4"", ""おしゃれさ+6"", ""すばやさ+4"", ""きようさ+4"", ""こうげき魔力+4"", ""かいふく魔力+4"", ""おもさ+4""]","[""必殺チャージ時 バイキルト"", ""必殺チャージ時 魔力かくせい"", ""必殺チャージ時 聖なる祈り"", ""必殺チャージ時 早詠みの杖"", ""必殺チャージ時 スカラ2段階"", ""必殺チャージ時 魔結界2段階"", ""必殺チャージ時 心頭滅却"", ""必殺チャージ時 ピオラ2段階"", ""必殺チャージ時 弓聖の守り星"", ""必殺チャージ時 ホップスティック"", ""必殺チャージ時10%で聖騎士の堅陣"", ""必殺チャージ時 牙神昇誕"", ""必殺チャージ時 暴走確定"", ""必殺チャージ時 まもりのきり"", ""必殺チャージ時 聖女の守り"", ""必殺チャージ時 会心ガード""]","[""デスマシーンの討伐報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-38.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-38.php,2026-03-12 05:57:26,2026-03-12 05:57:26
10,accessory_kao_10,ダークアイ,Dark Eye,accessory,顔アクセサリー,顔,,魅了に強くHPと 攻撃魔力が増える 漆黒の仮面,"[""魅了ガード+50％"", ""さいだいHP+4"", ""こうげき魔力+10""]","[""さいだいHP+2"", ""こうげき魔力+2"", ""こうげき魔力+3"", ""魅了ガード+5%"", ""魅了ガード+10%""]","[""レグナライト10個で交換する""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-6.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-6.php,2026-03-12 05:57:28,2026-03-12 05:57:28
